2,3,4,5,6,7,,3.5,4.5,,2.5,5.5
,,Finding Nemo,,,,,,,,,
,,Toy Story 2,,,,,,,,,
,,A Bugs Life,,,,,,,,,
,,Mousehunt,,,,,,,,,
,,Elf,,,,,,,,,
,,Jurassic Park III,,,,,,,,,
,,Jumanji,,,,,,,,,
,,Sixteen Candles,,,,,,,,,
,,Big Fat Liar,,,,,,,,,
,,Clueless,,,,,,,,,
,,Dirty Dancing,,,,,,,,,
,,Freaky Friday,,,,,,,,,
,,Tommy Boy,,,,,,,,,
,,Big Daddy,,,,,,,,,
,,Beethoven,,,,,,,,,
,,Go (1999),,,,,,,,,
,,Groundhog Day,,,,,,,,,
,,Terminator 3,,,,,,,,,
,,Next Friday,,,,,,,,,
,,Bad Santa,,,,,,,,,
,,Legally Blonde,,,,,,,,,
,,Old School,,,,,,,,,
,,Waynes World,,,,,,,,,
,,Waynes World 2,,,,,,,,,
,,American Pie,,,,,,,,,
,,The Wedding Singer,,,,,,,,,
,,Lost In Translation,,,,,,,,,
