Show,Episode Number,Episode,Played,Unnamed: 4,,,
Dragon Ball,77,Pilaf's Tactics,no,,,,
Dragon Ball,78,The Eternal Dragon Rises,no,,,,
Dragon Ball,79,Terror And Plague,no,,,,
Dragon Ball,80,Goku Vs. Sky Dragon,no,,,,
Dragon Ball,81,Goku Goes To Demon Land,no,,,,
Dragon Ball,82,The Rampage Of Inoshikacho,no,,,,
Dragon Ball,83,Which Way To Papaya Island,no,,,,
Dragon Ball,84,Rivals And Arrivals,no,,,,
Dragon Ball,85,Preliminary Peril,no,,,,
Dragon Ball,86,Then There Were Eight,no,,,,
Dragon Ball,87,Yamcha Vs. Tien,no,,,,
Dragon Ball,88,Yamcha's Big Break,no,,,,
Dragon Ball,89,Full-moon Vengeance,no,,,,
Dragon Ball,90,The Dodon Wave,no,,,,
Dragon Ball,91,Counting Controversy!!,no,,,,
Dragon Ball,92,Goku Enters The Ring,no,,,,
Dragon Ball,93,Tien Shinhan Vs. Jackie Chun,no,,,,
Dragon Ball,94,Stepping Down,no,,,,
Dragon Ball,95,Goku Vs. Krillin,no,,,,
Dragon Ball,96,Tail's Tale,no,,,,
Dragon Ball,97,Final Match Goku Vs. Tien,no,,,,
Dragon Ball,98,Victory's Edge,no,,,,
Dragon Ball,99,Tien's Insurrection,no,,,,
Dragon Ball,100,The Spirit Cannon,no,,,,
Dragon Ball,101,The Fallen,no,,,,
Dragon Ball,102,Enter King Piccolo,no,,,,
Dragon Ball,103,Tambourine Attacks!,no,,,,
Dragon Ball,104,Mark Of The Demon,no,,,,
Dragon Ball,105,Here Comes Yajirobe,no,,,,
Dragon Ball,106,Terrible Tambourine,no,,,,
Dragon Ball,107,Tien's Atonement,no,,,,
Dragon Ball,108,Goku's Revenge,no,,,,
Dragon Ball,109,Goku Vs. King Piccolo,no,,,,
Dragon Ball,110,Piccolo Closes In,no,,,,
Dragon Ball,111,Roshi's Gambit,no,,,,
Dragon Ball,112,King Piccolo's Wish,no,,,,
Dragon Ball,113,Siege On Chow Castle,no,,,,
Dragon Ball,114,Conquest And Power,no,,,,
Dragon Ball,115,Awaken Darkness,no,,,,
Dragon Ball,116,A Taste Of Destiny,no,,,,
Dragon Ball,117,The Ultimate Sacrifice,no,,,,
Dragon Ball,118,Prelude To Vengeance,no,,,,
Dragon Ball,119,Battle Cry,no,,,,
Dragon Ball,120,Goku Strikes Back,no,,,,
Dragon Ball,121,The Biggest Crisis,no,,,,
Dragon Ball,122,Final Showdown,no,,,,
Dragon Ball,124,Temple Above The Clouds,no,,,,
Dragon Ball,125,Earth's Guardian Emerges,no,,,,
Dragon Ball,126,Eternal Dragon Resurrected,no,,,,
Dragon Ball,127,Quicker Than Lightning,no,,,,
Dragon Ball,128,Secret Of The Woods,no,,,,
Dragon Ball,129,The Time Room,no,,,,
Dragon Ball,130,Goku's Doll,no,,,,
Dragon Ball,131,Walking Their Own Ways,no,,,,
Dragon Ball,132,Hotter Than Lava,no,,,,
Dragon Ball,133,Changes,no,,,,
Dragon Ball,134,Preliminary Peril,no,,,,
Dragon Ball,135,Battle Of The Eight,no,,,,
Dragon Ball,136,Tien Shinhan Vs. Mercenary Tao,no,,,,
Dragon Ball,137,Anonymous Proposal,no,,,,
Dragon Ball,138,The Mysterious Hero,no,,,,
Dragon Ball,139,Rematch,no,,,,
Dragon Ball,140,Goku Gains Speed,no,,,,
Dragon Ball,141,The Four Faces Of Tien,no,,,,
Dragon Ball,142,Kami Vs. Piccolo,no,,,,
Dragon Ball,143,Battle For The Future,no,,,,
Dragon Ball,144,Super Kamehameha,no,,,,
Dragon Ball,145,Junior No More,no,,,,
Dragon Ball,146,Goku's Trap,no,,,,
Dragon Ball,147,Goku Hangs On,no,,,,
Dragon Ball,148,The Victor,no,,,,
Dragon Ball,149,Dress In Flames,no,,,,
Dragon Ball,150,The Fire-eater,no,,,,
Dragon Ball,151,Outrageous Octagon,no,,,,
Dragon Ball,152,Mystery Of The Dark World,no,,,,
